"","frog_mort","car_num","year","location","species"
"2",24.4560921590176,39.916718969521,2010,"Site A","Lithobates pipiens"
"3",24.8220983897322,51.7110638192232,2010,"Site A","Rana clamitans"
"4",25.1001975503878,53.9857536197118,2010,"Site A","Pseudacris crucifer"
"5",24.124321581748,42.0963946966926,2011,"Site A","Pseudacris crucifer"
"6",25.1024432510296,56.9866092047368,2011,"Site A","Lithobates pipiens"
"7",26.0394942735778,69.5845438035284,2011,"Site A","Rana clamitans"
"8",24.1859424730822,45.5506337655867,2012,"Site A","Lithobates pipiens"
"9",25.186416850729,48.4274483017545,2012,"Site A","Rana clamitans"
"10",25.5170975806349,52.5417350704404,2012,"Site A","Pseudacris crucifer"
"11",25.1942290719112,49.4142011594535,2013,"Site A","Pseudacris crucifer"
"12",25.3165311262456,51.0331090606117,2013,"Site A","Rana clamitans"
"13",25.697945569256,58.4985768723327,2013,"Site A","Lithobates pipiens"
"14",23.1601444180299,34.8939040826265,2014,"Site A","Pseudacris crucifer"
"15",24.3954301608392,51.3027106440679,2014,"Site A","Lithobates pipiens"
"16",24.5138694478036,53.7923727090663,2014,"Site A","Rana clamitans"
"17",24.3221211539472,53.568083263316,2015,"Site A","Rana clamitans"
"18",24.592457876512,55.5339530294419,2015,"Site A","Pseudacris crucifer"
"19",26.1459119252586,58.8866980977995,2015,"Site A","Lithobates pipiens"
"20",23.493412605369,49.2457501248117,2016,"Site A","Pseudacris crucifer"
"21",24.3983430968996,50.8980870086463,2016,"Site A","Lithobates pipiens"
"22",24.6366474527455,58.9272897141053,2016,"Site A","Rana clamitans"
"23",25.3308549134885,46.8216154271103,2017,"Site A","Pseudacris crucifer"
"24",25.6934656577528,55.8457848184953,2017,"Site A","Rana clamitans"
"25",26.3911061089113,61.9900113696557,2017,"Site A","Lithobates pipiens"
"26",25.1854159913003,32.6705654083695,2018,"Site A","Lithobates pipiens"
"27",26.9656002830618,50.1634173879185,2018,"Site A","Pseudacris crucifer"
"28",26.9842942756332,50.8277134815403,2018,"Site A","Rana clamitans"
"29",25.9645315065209,46.6252810905954,2019,"Site A","Rana clamitans"
"30",26.1246498153736,50.5642042963874,2019,"Site A","Pseudacris crucifer"
"31",26.4762608223853,55.6929918666319,2019,"Site A","Lithobates pipiens"
"32",25.3890382468771,45.0283788322145,2010,"Site B","Rana clamitans"
"33",25.872918006406,47.6113248857722,2010,"Site B","Lithobates pipiens"
"34",27.5154605721001,51.3014943032962,2010,"Site B","Pseudacris crucifer"
"35",24.9201110784974,46.421635045057,2011,"Site B","Lithobates pipiens"
"36",25.9963587551346,49.0366269821822,2011,"Site B","Pseudacris crucifer"
"37",27.3913143685285,61.5839004475428,2011,"Site B","Rana clamitans"
"38",25.7725027630773,44.4173095644696,2012,"Site B","Lithobates pipiens"
"39",26.462144332952,46.0223735143083,2012,"Site B","Rana clamitans"
"40",26.6804895052141,50.083717428223,2012,"Site B","Pseudacris crucifer"
"41",24.6919489567979,46.3684404121699,2013,"Site B","Pseudacris crucifer"
"42",24.8784984687787,56.3473992700449,2013,"Site B","Rana clamitans"
"43",25.3673749808583,62.4311921201338,2013,"Site B","Lithobates pipiens"
"44",23.7617725805309,44.4275345089637,2014,"Site B","Lithobates pipiens"
"45",24.2256975302724,48.1145772551714,2014,"Site B","Pseudacris crucifer"
"46",24.8023114476479,59.6989753862483,2014,"Site B","Rana clamitans"
"47",24.1536341711424,36.588542394598,2015,"Site B","Rana clamitans"
"48",24.8044688159315,46.6908002321089,2015,"Site B","Lithobates pipiens"
"49",26.382949669834,56.7598787745037,2015,"Site B","Pseudacris crucifer"
"50",24.569260325986,40.9332197443749,2016,"Site B","Rana clamitans"
"51",25.7593183137468,48.3188864783963,2016,"Site B","Pseudacris crucifer"
