"","frog_mort","car_num","location","year","species"
"1",25.5675928117752,44.7170366837041,"Site 1",2010,"species 1"
"2",27.82532276549,49.7021107843317,"Site 1",2010,"species 2"
"3",26.3678989986885,30.372211522453,"Site 1",2010,"species 3"
"4",27.669175361113,53.736580187125,"Site 1",2011,"species 1"
"5",26.4743992491991,50.7151614173233,"Site 1",2011,"species 2"
"6",27.0030277167632,46.723296639141,"Site 1",2011,"species 3"
"7",25.0670335251574,43.4800403113895,"Site 1",2012,"species 1"
"8",25.396217477631,50.4262617387306,"Site 1",2012,"species 2"
"9",24.6156808827986,66.0899307326012,"Site 1",2012,"species 3"
"10",28.4553174960865,49.2805051054268,"Site 1",2013,"species 1"
"11",27.1772226724456,45.1377003651045,"Site 1",2013,"species 2"
"12",25.1322205742891,44.0030259440368,"Site 1",2013,"species 3"
"13",25.3115055833314,64.3533150513574,"Site 1",2014,"species 1"
"14",26.9223496644131,55.6788296209156,"Site 1",2014,"species 2"
"15",25.4935893528322,40.0925290958802,"Site 1",2014,"species 3"
"16",26.5739916282238,45.4705004387467,"Site 1",2015,"species 1"
"17",26.5566103855347,64.1083636547716,"Site 1",2015,"species 2"
"18",26.3407377452406,60.1054919039026,"Site 1",2015,"species 3"
"19",25.4452351614773,62.1841048492627,"Site 1",2016,"species 1"
"20",28.8391027951934,59.141449661211,"Site 1",2016,"species 2"
"21",26.1531464086522,50.8257272182911,"Site 1",2016,"species 3"
"22",25.3897191293672,42.2584253275186,"Site 1",2017,"species 1"
"23",26.5042468852007,55.1913702459459,"Site 1",2017,"species 2"
"24",26.8258334511439,45.2404564978448,"Site 1",2017,"species 3"
"25",25.3390468000606,61.4852901336367,"Site 1",2018,"species 1"
"26",25.3274517113399,55.1738578817975,"Site 1",2018,"species 2"
"27",25.3106268384503,49.2205237773144,"Site 1",2018,"species 3"
"28",25.6692786629555,52.7306565436167,"Site 1",2019,"species 1"
"29",28.007719626442,51.4104716958013,"Site 1",2019,"species 2"
