"","frog_mort","car_num","year","location","species"
"2",23.1273036847182,45.8179319545183,2010,"Site 1","Rana clamitans"
"3",23.4617493398749,48.1235216536408,2010,"Site 1","Lithobates pipiens"
"4",25.1280938432297,54.6913122453609,2010,"Site 1","Pseudacris crucifer"
"5",23.4124937134257,43.1798156666322,2011,"Site 1","Rana clamitans"
"6",23.4581175721686,47.0372969601341,2011,"Site 1","Pseudacris crucifer"
"7",23.8095901956332,53.1560093293768,2011,"Site 1","Lithobates pipiens"
"8",24.1410116387664,43.622047749293,2012,"Site 1","Lithobates pipiens"
"9",24.5656912219538,44.605028214627,2012,"Site 1","Pseudacris crucifer"
"10",24.671559298728,47.6648265465611,2012,"Site 1","Rana clamitans"
"11",24.3340549407392,46.6092267244864,2013,"Site 1","Lithobates pipiens"
"12",24.9591516767885,47.0548940356723,2013,"Site 1","Pseudacris crucifer"
"13",26.4308466188319,52.5173456380022,2013,"Site 1","Rana clamitans"
"14",25.0374823281714,46.422809900446,2014,"Site 1","Pseudacris crucifer"
"15",25.4772194475893,48.1968093459589,2014,"Site 1","Lithobates pipiens"
"16",26.4369586617853,58.0433872467426,2014,"Site 1","Rana clamitans"
"17",23.3695500594973,47.6867236825182,2015,"Site 1","Lithobates pipiens"
"18",23.4194041896517,57.3671253615729,2015,"Site 1","Pseudacris crucifer"
"19",24.552092593517,60.2741687487468,2015,"Site 1","Rana clamitans"
"20",21.5893076527998,49.1005225697157,2016,"Site 1","Rana clamitans"
"21",23.1478260409824,57.1033950134854,2016,"Site 1","Pseudacris crucifer"
"22",23.7136895778436,58.3626888050668,2016,"Site 1","Lithobates pipiens"
"23",21.2675298195988,48.8503483870754,2017,"Site 1","Pseudacris crucifer"
"24",21.8020241722606,49.2031582001419,2017,"Site 1","Lithobates pipiens"
"25",23.2258482316775,55.470919754749,2017,"Site 1","Rana clamitans"
"26",23.5035505164444,49.4837139048673,2018,"Site 1","Lithobates pipiens"
"27",23.5405770780025,50.4541933930672,2018,"Site 1","Rana clamitans"
"28",25.2456500812331,70.5414686774773,2018,"Site 1","Pseudacris crucifer"
"29",22.4476432696407,50.1317286650038,2019,"Site 1","Rana clamitans"
"30",23.4804818108709,50.5013157317531,2019,"Site 1","Pseudacris crucifer"
"31",23.7773069558592,51.763441278799,2019,"Site 1","Lithobates pipiens"
"32",25.3362846014343,47.1600714694354,2010,"Site 2","Pseudacris crucifer"
"33",25.544508736756,53.9947645694639,2010,"Site 2","Lithobates pipiens"
"34",26.3315893371519,54.8226124596183,2010,"Site 2","Rana clamitans"
"35",24.2230345221188,54.5885611078769,2011,"Site 2","Rana clamitans"
"36",24.770359550714,55.0206780554896,2011,"Site 2","Lithobates pipiens"
"37",24.8915649620819,59.7553768972703,2011,"Site 2","Pseudacris crucifer"
"38",24.6921045822411,45.4096583059831,2012,"Site 2","Rana clamitans"
"39",25.8023926793015,54.5620689093825,2012,"Site 2","Pseudacris crucifer"
"40",26.784839195156,65.6173858547801,2012,"Site 2","Lithobates pipiens"
"41",24.6505401869607,47.1292530805398,2013,"Site 2","Rana clamitans"
"42",24.948775464821,55.0344112578522,2013,"Site 2","Pseudacris crucifer"
"43",25.5203568020858,55.8561657258303,2013,"Site 2","Lithobates pipiens"
"44",24.0307962552654,47.2728115477933,2014,"Site 2","Lithobates pipiens"
"45",24.3274729667753,47.3834027462296,2014,"Site 2","Pseudacris crucifer"
"46",25.4146098428589,55.6837064850663,2014,"Site 2","Rana clamitans"
"47",22.2150216790281,43.2827393691533,2015,"Site 2","Lithobates pipiens"
"48",23.3780369993352,51.0963269006374,2015,"Site 2","Pseudacris crucifer"
"49",24.6318261115641,54.5093533232235,2015,"Site 2","Rana clamitans"
"50",24.3813163118575,55.482292585568,2016,"Site 2","Rana clamitans"
"51",25.0749427896753,56.8804278521415,2016,"Site 2","Pseudacris crucifer"
"52",26.1059871165073,61.333385668521,2016,"Site 2","Lithobates pipiens"
"53",21.9445698909597,44.2438217495215,2017,"Site 2","Pseudacris crucifer"
"54",22.065575718233,45.5702374589324,2017,"Site 2","Rana clamitans"
"55",24.3842079759624,56.4800178414478,2017,"Site 2","Lithobates pipiens"
"56",22.9331373344566,53.0275988104776,2018,"Site 2","Lithobates pipiens"
"57",22.9453137073815,56.1587597528523,2018,"Site 2","Pseudacris crucifer"
"58",24.3570017826617,65.2371105514039,2018,"Site 2","Rana clamitans"
"59",23.4082045120369,45.1705682243069,2019,"Site 2","Rana clamitans"
"60",24.7162160523838,52.0213916181142,2019,"Site 2","Pseudacris crucifer"
"61",25.2956078943095,54.0427855130777,2019,"Site 2","Lithobates pipiens"
"62",24.8177325940034,47.5889064667609,2010,"Site 3","Rana clamitans"
"63",24.9012763924874,49.3741446659647,2010,"Site 3","Pseudacris crucifer"
"64",26.9332781293862,52.6370132152158,2010,"Site 3","Lithobates pipiens"
"65",22.4549336392623,50.265265686891,2011,"Site 3","Pseudacris crucifer"
"66",24.2058343199326,51.1030155137113,2011,"Site 3","Rana clamitans"
"67",24.4317526579668,55.3771741114753,2011,"Site 3","Lithobates pipiens"
"68",23.8223260299032,46.8551767896527,2012,"Site 3","Lithobates pipiens"
"69",24.2765668175564,56.2887856971305,2012,"Site 3","Rana clamitans"
"70",24.5569585115265,56.871722036216,2012,"Site 3","Pseudacris crucifer"
"71",22.5908048042167,47.7084702958234,2013,"Site 3","Rana clamitans"
"72",23.8808462263833,50.1146334489726,2013,"Site 3","Lithobates pipiens"
"73",25.2031770199073,50.914049803707,2013,"Site 3","Pseudacris crucifer"
"74",23.1457391006669,42.7535389547842,2014,"Site 3","Rana clamitans"
"75",23.6303874497708,50.4437596081134,2014,"Site 3","Lithobates pipiens"
"76",24.5214003989139,58.3755454863902,2014,"Site 3","Pseudacris crucifer"
"77",26.7747647372471,42.8850181042519,2015,"Site 3","Pseudacris crucifer"
"78",26.7889192875982,43.956049986178,2015,"Site 3","Lithobates pipiens"
"79",27.4992815591482,53.7745418694347,2015,"Site 3","Rana clamitans"
"80",24.5961867416154,45.4785251460414,2016,"Site 3","Rana clamitans"
"81",25.8563091686725,45.5784483259983,2016,"Site 3","Lithobates pipiens"
"82",25.9115332013803,51.6691158299264,2016,"Site 3","Pseudacris crucifer"
"83",23.2435213230157,50.4976884852287,2017,"Site 3","Rana clamitans"
"84",23.4657980329523,52.7980710832765,2017,"Site 3","Pseudacris crucifer"
"85",24.2278878779952,55.4269804379916,2017,"Site 3","Lithobates pipiens"
"86",24.3561223882825,40.015542625578,2018,"Site 3","Rana clamitans"
"87",24.6571569847275,49.2145318756253,2018,"Site 3","Pseudacris crucifer"
"88",26.262705799638,56.912600806559,2018,"Site 3","Lithobates pipiens"
"89",23.8661242727398,43.9431209672558,2019,"Site 3","Pseudacris crucifer"
"90",25.8785208427134,49.5384406531607,2019,"Site 3","Lithobates pipiens"
"91",26.7680141445955,52.5905214150099,2019,"Site 3","Rana clamitans"
"92",23.8065039689935,44.1925148870088,2010,"Site 4","Pseudacris crucifer"
"93",23.925034593479,53.9431053077341,2010,"Site 4","Rana clamitans"
"94",24.4669902170123,61.0245835213918,2010,"Site 4","Lithobates pipiens"
"95",25.8390446512997,45.6663789805115,2011,"Site 4","Lithobates pipiens"
"96",26.4297210442548,60.6689373930053,2011,"Site 4","Rana clamitans"
"97",26.4631483854262,66.8806383568807,2011,"Site 4","Pseudacris crucifer"
"98",24.1901146136325,45.2896985771045,2012,"Site 4","Pseudacris crucifer"
"99",24.5692858592887,48.9794252920376,2012,"Site 4","Rana clamitans"
"100",26.7928500230742,53.252655346583,2012,"Site 4","Lithobates pipiens"
"101",25.1197893106841,39.9458692684769,2013,"Site 4","Pseudacris crucifer"
"102",25.5273238116191,50.8744047559623,2013,"Site 4","Rana clamitans"
"103",25.8111932292336,55.3566649849527,2013,"Site 4","Lithobates pipiens"
"104",24.037496300944,43.3183448023702,2014,"Site 4","Rana clamitans"
"105",24.3163453479733,50.1025285256892,2014,"Site 4","Lithobates pipiens"
"106",24.8512760644653,52.4509048788438,2014,"Site 4","Pseudacris crucifer"
"107",21.4873894762914,47.7490527360316,2015,"Site 4","Lithobates pipiens"
"108",23.964588393061,55.8745170896485,2015,"Site 4","Pseudacris crucifer"
"109",24.0624002759101,58.2886691006945,2015,"Site 4","Rana clamitans"
"110",22.7644288390816,43.8552048199409,2016,"Site 4","Rana clamitans"
"111",23.3785003919143,49.4282120809327,2016,"Site 4","Pseudacris crucifer"
"112",23.5785545637535,52.2949043190856,2016,"Site 4","Lithobates pipiens"
"113",25.5009062427007,38.8811641262635,2017,"Site 4","Rana clamitans"
"114",26.5595772143647,43.9892483638827,2017,"Site 4","Pseudacris crucifer"
"115",27.1206193175385,54.6732809705894,2017,"Site 4","Lithobates pipiens"
"116",25.7557477934305,51.5122364976569,2018,"Site 4","Lithobates pipiens"
"117",26.6717528664968,52.0333949476329,2018,"Site 4","Rana clamitans"
"118",27.112953807749,54.4826261844454,2018,"Site 4","Pseudacris crucifer"
"119",22.8539353868895,43.096760470765,2019,"Site 4","Pseudacris crucifer"
"120",23.5081552762061,49.7315215889146,2019,"Site 4","Rana clamitans"
"121",24.6778240731341,66.9026618137542,2019,"Site 4","Lithobates pipiens"
"122",23.037118655311,49.4394718781679,2010,"Site 5","Lithobates pipiens"
"123",23.8264458335216,51.3547542792604,2010,"Site 5","Pseudacris crucifer"
"124",24.5001806041445,61.6853634803721,2010,"Site 5","Rana clamitans"
"125",25.0270957253896,51.0907159212333,2011,"Site 5","Pseudacris crucifer"
"126",25.0653855171745,52.7909875732806,2011,"Site 5","Rana clamitans"
"127",25.0979359974546,53.8086649058216,2011,"Site 5","Lithobates pipiens"
"128",23.2111822503933,40.1595960385177,2012,"Site 5","Lithobates pipiens"
"129",23.3664335680215,43.7305230033641,2012,"Site 5","Pseudacris crucifer"
"130",24.1303357274971,51.312940928267,2012,"Site 5","Rana clamitans"
"131",22.082120571152,46.911480801247,2013,"Site 5","Rana clamitans"
"132",23.974743520906,47.005586648993,2013,"Site 5","Pseudacris crucifer"
"133",24.3858745978934,47.5125515743106,2013,"Site 5","Lithobates pipiens"
"134",23.4860076352835,37.271320270047,2014,"Site 5","Lithobates pipiens"
"135",23.8603320222603,48.7055210863426,2014,"Site 5","Pseudacris crucifer"
"136",24.6493396127626,66.5477879240786,2014,"Site 5","Rana clamitans"
"137",22.106448506559,38.1156867982619,2015,"Site 5","Rana clamitans"
"138",23.290991923481,56.2133750776872,2015,"Site 5","Lithobates pipiens"
"139",23.5757893964753,62.3669421628848,2015,"Site 5","Pseudacris crucifer"
"140",22.4008119377859,44.9067914583048,2016,"Site 5","Lithobates pipiens"
"141",23.3256967711849,48.5049646625331,2016,"Site 5","Pseudacris crucifer"
"142",25.1449915849281,54.0060583634081,2016,"Site 5","Rana clamitans"
"143",25.2148431945114,41.3358245665834,2017,"Site 5","Rana clamitans"
"144",25.8312967536385,49.1051897450842,2017,"Site 5","Lithobates pipiens"
"145",26.5365548915403,59.1026211086709,2017,"Site 5","Pseudacris crucifer"
"146",22.7202503896992,40.4123571141018,2018,"Site 5","Pseudacris crucifer"
"147",22.977039961427,54.9687988209184,2018,"Site 5","Lithobates pipiens"
"148",25.242530570159,70.8132745676067,2018,"Site 5","Rana clamitans"
"149",22.2645343005217,40.5599320351109,2019,"Site 5","Pseudacris crucifer"
"150",22.9539007443984,52.880112623285,2019,"Site 5","Lithobates pipiens"
"151",25.166379922805,56.9685280015726,2019,"Site 5","Rana clamitans"
"152",23.4293258457475,44.0538952752401,2010,"Site 6","Pseudacris crucifer"
"153",24.0242952252289,49.7047544174218,2010,"Site 6","Lithobates pipiens"
"154",26.529581666423,55.1668614453178,2010,"Site 6","Rana clamitans"
"155",24.8291253143197,47.663018897199,2011,"Site 6","Rana clamitans"
"156",25.2510395145306,58.657604996631,2011,"Site 6","Lithobates pipiens"
"157",25.8960141303209,81.3636904619275,2011,"Site 6","Pseudacris crucifer"
"158",24.0049145164591,41.2392466221917,2012,"Site 6","Pseudacris crucifer"
"159",24.297400470972,49.8239065930146,2012,"Site 6","Rana clamitans"
"160",24.6469986294111,51.353829663462,2012,"Site 6","Lithobates pipiens"
"161",23.3540129975257,46.5661539171158,2013,"Site 6","Lithobates pipiens"
"162",24.738117138461,56.2401323863104,2013,"Site 6","Rana clamitans"
"163",25.6432494838401,56.6358866226469,2013,"Site 6","Pseudacris crucifer"
"164",24.7214715157967,36.2666760198746,2014,"Site 6","Rana clamitans"
"165",25.9724357433361,41.4445211970699,2014,"Site 6","Pseudacris crucifer"
"166",26.4744671595159,61.478890797567,2014,"Site 6","Lithobates pipiens"
"167",23.6462560418199,42.1209038712099,2015,"Site 6","Rana clamitans"
"168",23.8824963461413,48.2762928333186,2015,"Site 6","Lithobates pipiens"
"169",24.0535927167415,51.0546309955554,2015,"Site 6","Pseudacris crucifer"
"170",23.4769640181041,56.3227020037648,2016,"Site 6","Lithobates pipiens"
"171",23.4869858504587,59.6644259445369,2016,"Site 6","Rana clamitans"
"172",24.5120800795922,62.4740990169809,2016,"Site 6","Pseudacris crucifer"
"173",22.4322478595888,47.4670175381283,2017,"Site 6","Pseudacris crucifer"
"174",23.3859818957207,48.7147900076876,2017,"Site 6","Rana clamitans"
"175",23.7284315138432,50.1183295468431,2017,"Site 6","Lithobates pipiens"
"176",22.1965172585418,40.0280158762501,2018,"Site 6","Lithobates pipiens"
"177",22.6024544679607,41.3726118516754,2018,"Site 6","Rana clamitans"
"178",24.35701683958,55.1745446205322,2018,"Site 6","Pseudacris crucifer"
"179",23.584211961069,44.1971627724327,2019,"Site 6","Rana clamitans"
"180",24.7093738601856,44.8517237617061,2019,"Site 6","Lithobates pipiens"
"181",24.9202107170777,47.4908039806249,2019,"Site 6","Pseudacris crucifer"
"182",25.6799253101361,48.7443776009772,2010,"Site 7","Rana clamitans"
"183",25.8554746204798,49.7492907702681,2010,"Site 7","Pseudacris crucifer"
"184",27.1502688217403,53.9866279868459,2010,"Site 7","Lithobates pipiens"
"185",24.5912265918971,55.8046652648404,2011,"Site 7","Pseudacris crucifer"
"186",25.1522645761398,56.0103931200489,2011,"Site 7","Lithobates pipiens"
